Age,Gender,Marital_Status,Family_Members,Education,Occupation,Job_Title,Income,Current_Product,Current_Product_Type,Current_Coverage,New_Product_Type,New_Coverage,Rating,target
54.0,F,Married,2.0,UHS,SPT,OM,3.12323897,Yes,PMT,2000000.0,TLE,3000000.0,Cold,0
30.0,M,Married,3.0,LHS,SE,DD,1.196892741,Yes,PMT,2000000.0,END,1000000.0,Cold,0
57.0,M,Divorced,6.0,BD,SPT,BA,6.552268897,Yes,PMT,15000000.0,TLE,1000000.0,Warm,0
33.0,F,Married,5.0,BD,SE,FH,1.772591577,Yes,INV,15000000.0,ANS,15000000.0,Cold,0
57.0,F,Married,5.0,BD,SPT,PR,7.23383938,No,NO,0.0,INV,15000000.0,Warm,1
45.0,M,Divorced,2.0,MD,SPT,PR,7.049082155,Yes,TLE,15000000.0,INV,2000000.0,Warm,1
44.0,F,Single,10.0,PD,SE,FH,2.401775069,Yes,TLE,50000.0,ANS,2000000.0,Cold,0
37.0,M,Single,1.0,UHS,SE,CB,1.712570102,Yes,PMT,1000000.0,TLE,1000000.0,Cold,0
25.0,M,Single,1.0,PD,SPT,PG,9.075362578,No,NO,0.0,END,4000000.0,Hot,0
57.0,F,Married,4.0,MD,SE,FH,2.320537005,Yes,ANS,1000000.0,TLE,2000000.0,Cold,0
25.0,F,Married,7.0,MD,SPT,PG,9.127575999,No,NO,0.0,END,3000000.0,Hot,1
36.0,M,Married,5.0,MD,SE,FH,2.293940068,Yes,ANS,4000000.0,TLE,15000000.0,Cold,0
34.0,F,Married,7.0,MD,SE,FH,1.845261344,No,NO,0.0,INV,15000000.0,Cold,0
47.0,M,Divorced,6.0,PD,SE,FH,2.988654969,No,NO,0.0,ANS,2000000.0,Cold,0
58.0,M,Married,5.0,BD,SE,FH,2.939931827,Yes,ANS,1000000.0,TLE,2000000.0,Cold,0
28.0,M,Married,8.0,MD,SPT,BA,5.143211002,No,NO,0.0,PMT,5000000.0,Hot,1
37.0,M,Married,7.0,MD,SE,PG,9.290502414,Yes,ANS,4000000.0,INV,15000000.0,Hot,1
22.0,M,Married,10.0,LHS,SFT,OM,2.267788868,No,NO,0.0,INV,2000000.0,Warm,0
34.0,M,Married,3.0,MD,SPT,PG,9.459643285,No,NO,0.0,TLE,1000000.0,Hot,1
51.0,M,Married,2.0,MD,SE,FH,2.685634298,Yes,ANS,15000000.0,TLE,1000000.0,Cold,0
47.0,M,Married,5.0,BD,SE,FH,2.410731733,Yes,ANS,15000000.0,TLE,15000000.0,Cold,0
37.0,M,Married,2.0,UHS,SE,CF,1.883084385,No,NO,0.0,TLE,2000000.0,Cold,0
34.0,M,Married,4.0,MD,SE,FH,2.638479898,Yes,TLE,1000000.0,INV,1000000.0,Cold,0
37.0,M,Divorced,1.0,BD,SE,FH,2.305191335,No,NO,0.0,TLE,2000000.0,Cold,0
51.0,M,Divorced,6.0,MD,SPT,PG,9.693343115,Yes,ANS,15000000.0,INV,1000000.0,Warm,0
49.0,M,Married,8.0,MD,SPT,BA,7.56469362,No,NO,0.0,TLE,2000000.0,Warm,1
19.0,M,Single,4.0,NE,SPT,PA,4.366078071,No,NO,0.0,END,1000000.0,Hot,1
30.0,F,Married,2.0,BD,SE,FH,2.360676352,No,NO,0.0,INV,1000000.0,Warm,0
55.0,F,Married,6.0,LHS,SE,OT,3.5,Yes,ANS,4000000.0,TLE,1000000.0,Cold,0
40.0,F,Married,2.0,BD,SPT,PG,9.622995716,No,NO,0.0,ANS,3000000.0,Warm,1
24.0,F,Single,6.0,BD,SPT,PG,9.0,No,NO,0.0,PMT,3000000.0,Hot,1
60.0,M,Divorced,1.0,UHS,SE,OT,3.281829963,Yes,TLE,1000000.0,ANS,15000000.0,Cold,1
46.0,F,Married,4.0,BD,SE,FH,2.65761493,Yes,ANS,15000000.0,TLE,1000000.0,Cold,0
42.0,F,Divorced,1.0,MD,SPT,PG,9.549010249,Yes,INV,2000000.0,ANS,2000000.0,Warm,1
29.0,M,Married,9.0,BD,SE,FH,1.945895644,No,NO,0.0,PMT,15000000.0,Cold,0
52.0,M,Married,2.0,BD,SE,FH,2.399361098,Yes,TLE,15000000.0,ANS,2000000.0,Cold,0
28.0,M,Married,2.0,BD,SPT,PR,5.356378452,No,NO,0.0,INV,4000000.0,Hot,1
19.0,M,Married,5.0,NE,SPT,PA,4.077036676,No,NO,0.0,TLE,1000000.0,Hot,1
51.0,M,Married,2.0,MD,SPT,RR,10.0,No,NO,0.0,ANS,15000000.0,Warm,1
41.0,M,Single,8.0,LHS,SFT,DD,1.499390044,No,NO,0.0,PMT,15000000.0,Cold,0
27.0,M,Married,2.0,BD,SE,FH,1.5,No,NO,0.0,END,15000000.0,Cold,0
52.0,M,Married,5.0,UHS,SE,CF,3.0,Yes,TLE,15000000.0,ANS,15000000.0,Cold,0
36.0,F,Married,5.0,MD,SE,FH,2.212884622,No,NO,0.0,ANS,1000000.0,Cold,0
51.0,M,Divorced,2.0,NE,SPT,DD,1.803306009,Yes,TLE,4000000.0,ANS,15000000.0,Cold,0
33.0,F,Married,3.0,MD,SPT,RR,9.545794001,No,NO,0.0,INV,4000000.0,Hot,1
33.0,M,Married,3.0,BD,SE,FH,1.675438645,No,NO,0.0,END,1000000.0,Cold,0
40.0,M,Single,3.0,MD,SE,FH,1.95397401,Yes,TLE,4000000.0,ANS,2000000.0,Cold,0
34.0,M,Single,2.0,LHS,SE,OM,2.665287321,No,NO,0.0,END,15000000.0,Cold,0
31.0,M,Divorced,1.0,BD,SE,FH,2.228846886,No,NO,0.0,END,2000000.0,Cold,0
33.0,M,Married,3.0,UHS,SPT,OM,2.90935428,Yes,INV,1000000.0,END,2000000.0,Cold,0
47.0,M,Single,4.0,PD,SPT,PR,7.146441592,No,NO,0.0,INV,2000000.0,Warm,1
56.0,F,Married,2.0,NE,SPT,OM,3.112894576,No,NO,0.0,TLE,3000000.0,Cold,0
25.0,F,Single,5.0,UHS,SPT,OM,2.318539136,No,NO,0.0,PMT,3000000.0,Warm,0
58.0,M,Divorced,6.0,MD,SE,FH,2.951123266,No,NO,0.0,ANS,1000000.0,Cold,0
28.0,F,Single,7.0,BD,SE,FH,2.419470448,Yes,TLE,3000000.0,INV,2000000.0,Warm,0
20.0,F,Single,2.0,UHS,SE,CF,1.681189608,No,NO,0.0,INV,2000000.0,Cold,0
20.0,M,Single,4.0,UHS,SPT,PA,4.0,Yes,END,15000000.0,TLE,15000000.0,Hot,1
25.0,F,Married,6.0,PD,SPT,PR,5.295945423,Yes,PMT,4000000.0,INV,15000000.0,Hot,1
52.0,M,Divorced,9.0,BD,SPT,PG,9.615510961,Yes,INV,15000000.0,ANS,15000000.0,Warm,0
26.0,F,Married,9.0,UHS,SPT,OT,2.686909712,Yes,ANS,15000000.0,END,1000000.0,Warm,0
19.0,F,Married,10.0,UHS,SE,OT,2.0,No,NO,0.0,PMT,15000000.0,Warm,1
22.0,F,Married,4.0,PD,SE,FH,1.5,No,NO,0.0,INV,1000000.0,Cold,0
24.0,M,Married,8.0,PD,SE,FH,1.5,No,NO,0.0,TLE,15000000.0,Cold,0
35.0,F,Married,2.0,UHS,SPT,OT,2.653380681,No,NO,0.0,END,2000000.0,Cold,0
50.0,M,Divorced,5.0,PD,SPT,PR,7.716657053,No,NO,0.0,TLE,3000000.0,Warm,1
59.0,M,Married,4.0,BD,SPT,BA,7.164621096,Yes,ANS,2000000.0,INV,4000000.0,Warm,0
24.0,M,Married,5.0,BD,SPT,PG,9.141386129,Yes,END,2000000.0,ANS,4000000.0,Hot,1
34.0,M,Married,4.0,LHS,SFT,OT,2.318044313,Yes,END,15000000.0,TLE,2000000.0,Cold,0
38.0,M,Divorced,7.0,MD,SPT,BA,5.5921204,No,NO,0.0,TLE,3000000.0,Hot,1
36.0,F,Divorced,8.0,LHS,SFT,OM,2.772962066,Yes,PMT,1000000.0,ANS,3000000.0,Cold,0
22.0,F,Married,7.0,PD,SE,FH,1.559054459,No,NO,0.0,ANS,2000000.0,Cold,0
49.0,M,Married,3.0,BD,SPT,BA,7.15556684,Yes,INV,15000000.0,ANS,1000000.0,Warm,0
26.0,M,Married,2.0,MD,SPT,BA,5.002677815,No,NO,0.0,INV,4000000.0,Hot,1
51.0,F,Married,2.0,PD,SPT,PG,9.537975277,Yes,ANS,15000000.0,INV,1000000.0,Warm,0
46.0,M,Married,2.0,LHS,SFT,CB,1.876682544,No,NO,0.0,PMT,1000000.0,Cold,0
21.0,F,Single,5.0,PD,SPT,BA,5.0,No,NO,0.0,END,5000000.0,Hot,1
37.0,M,Single,1.0,MD,SPT,PG,9.588222657,No,NO,0.0,ANS,2000000.0,Hot,1
25.0,M,Married,3.0,NE,SE,OT,2.0,No,NO,0.0,ANS,15000000.0,Warm,0
43.0,F,Divorced,6.0,MD,SPT,PG,9.724402646,No,NO,0.0,ANS,3000000.0,Warm,1
29.0,F,Married,3.0,BD,SPT,PG,9.3311328,No,NO,0.0,END,2000000.0,Hot,1
23.0,M,Married,6.0,MD,SE,PG,9.0,Yes,ANS,2000000.0,INV,5000000.0,Hot,1
47.0,M,Married,5.0,MD,SPT,PR,6.506617504,No,NO,0.0,ANS,3000000.0,Warm,1
32.0,M,Divorced,1.0,MD,SPT,RR,9.264608551,Yes,ANS,15000000.0,END,15000000.0,Hot,1
56.0,M,Married,3.0,PD,SPT,PG,10.0,Yes,INV,15000000.0,ANS,5000000.0,Warm,0
37.0,M,Married,6.0,UHS,SE,CB,1.628244278,Yes,PMT,2000000.0,TLE,15000000.0,Cold,0
23.0,M,Single,3.0,BD,SE,FH,2.174917097,No,NO,0.0,TLE,15000000.0,Warm,0
19.0,F,Married,5.0,NE,SPT,OM,2.0,No,NO,0.0,PMT,1000000.0,Warm,1
39.0,M,Divorced,1.0,MD,SPT,PR,5.852329388,Yes,TLE,15000000.0,ANS,2000000.0,Hot,1
31.0,M,Divorced,2.0,MD,SPT,RR,9.411821876,Yes,END,4000000.0,INV,1000000.0,Hot,1
32.0,F,Divorced,2.0,BD,SE,FH,1.859438921,Yes,ANS,15000000.0,INV,2000000.0,Cold,0
41.0,M,Single,2.0,BD,SE,FH,2.088736661,Yes,TLE,3000000.0,ANS,15000000.0,Cold,0
30.0,F,Single,7.0,PD,SPT,PG,9.208006961,No,NO,0.0,TLE,2000000.0,Hot,1
52.0,M,Married,2.0,MD,SPT,PG,9.797162208,Yes,ANS,4000000.0,INV,15000000.0,Warm,0
36.0,M,Divorced,3.0,UHS,SPT,CB,1.219215478,Yes,PMT,15000000.0,TLE,15000000.0,Cold,0
41.0,M,Single,3.0,PD,SPT,BA,6.672014064,No,NO,0.0,PMT,15000000.0,Warm,1
37.0,M,Married,9.0,BD,SE,FH,2.346620926,Yes,ANS,15000000.0,TLE,15000000.0,Cold,0
26.0,M,Married,5.0,NE,SE,CF,1.637677065,Yes,INV,1000000.0,END,1000000.0,Cold,0
58.0,F,Divorced,8.0,MD,SPT,BA,7.295786875,Yes,ANS,15000000.0,TLE,3000000.0,Warm,0
29.0,M,Single,7.0,PD,SPT,BA,5.294429965,Yes,INV,3000000.0,END,15000000.0,Hot,1
30.0,F,Married,10.0,LHS,SFT,OT,2.734506236,No,NO,0.0,END,2000000.0,Warm,0
29.0,F,Single,6.0,BD,SPT,PG,9.307193758,Yes,INV,1000000.0,TLE,15000000.0,Hot,0
35.0,F,Married,2.0,UHS,SPT,PA,5.723261652,Yes,ANS,4000000.0,TLE,3000000.0,Hot,1
59.0,M,Married,5.0,UHS,SE,OT,3.378085159,Yes,TLE,3000000.0,ANS,3000000.0,Cold,0
33.0,M,Married,5.0,MD,SE,FH,1.827888671,No,NO,0.0,INV,15000000.0,Cold,0
46.0,M,Married,2.0,MD,SPT,RR,9.299822076,No,NO,0.0,ANS,15000000.0,Warm,0
46.0,F,Married,6.0,MD,SPT,PR,6.557169356,Yes,ANS,2000000.0,TLE,1000000.0,Warm,1
50.0,M,Married,10.0,UHS,SPT,OT,3.41275453,Yes,TLE,1000000.0,ANS,1000000.0,Cold,0
47.0,F,Divorced,4.0,BD,SPT,BA,6.835639728,Yes,ANS,15000000.0,TLE,3000000.0,Warm,0
46.0,M,Married,3.0,PD,SE,PG,9.812299258,Yes,ANS,15000000.0,INV,5000000.0,Warm,0
35.0,F,Married,2.0,MD,SPT,PG,9.583991807,Yes,END,2000000.0,PMT,5000000.0,Hot,1
35.0,M,Married,2.0,MD,SPT,PR,6.287079729,No,NO,0.0,END,4000000.0,Hot,1
40.0,F,Married,4.0,PD,SPT,PG,9.26453092,Yes,TLE,2000000.0,ANS,3000000.0,Warm,1
30.0,M,Married,4.0,BD,SPT,BA,5.263742917,No,NO,0.0,END,15000000.0,Hot,1
47.0,M,Single,1.0,PD,SPT,PR,7.5458456,No,NO,0.0,ANS,4000000.0,Warm,1
53.0,F,Divorced,1.0,LHS,SFT,PA,6.80521902,Yes,TLE,1000000.0,ANS,3000000.0,Warm,1
50.0,F,Single,2.0,UHS,SPT,OM,3.09718381,Yes,TLE,4000000.0,PMT,15000000.0,Cold,0
21.0,M,Single,6.0,LHS,SFT,OM,2.063384416,No,NO,0.0,END,15000000.0,Warm,0
33.0,M,Married,2.0,MD,SE,FH,1.92511599,No,NO,0.0,END,15000000.0,Cold,0
47.0,F,Single,10.0,BD,SE,FH,2.524128019,No,NO,0.0,ANS,2000000.0,Cold,0
50.0,F,Divorced,6.0,PD,SE,FH,2.635745171,Yes,TLE,50000.0,ANS,15000000.0,Cold,0
50.0,F,Divorced,4.0,BD,SPT,BA,7.084053353,Yes,ANS,2000000.0,INV,5000000.0,Warm,0
22.0,F,Single,5.0,LHS,SFT,DD,1.0,No,NO,0.0,END,1000000.0,Cold,0
45.0,F,Divorced,2.0,MD,SPT,PR,6.042110214,Yes,ANS,15000000.0,TLE,2000000.0,Warm,0
46.0,M,Married,2.0,BD,SPT,BA,7.391818825,Yes,ANS,3000000.0,INV,3000000.0,Warm,1
53.0,F,Married,6.0,UHS,SPT,DD,1.917436197,Yes,TLE,15000000.0,PMT,1000000.0,Cold,0
22.0,M,Divorced,3.0,MD,SPT,BA,5.0,No,NO,0.0,PMT,2000000.0,Hot,1
31.0,M,Married,2.0,UHS,SPT,CB,1.412411217,No,NO,0.0,PMT,1000000.0,Cold,1
22.0,M,Single,4.0,LHS,SFT,PA,4.0,No,NO,0.0,END,4000000.0,Hot,1
53.0,F,Married,2.0,BD,SE,FH,3.0,Yes,ANS,15000000.0,TLE,1000000.0,Cold,0
41.0,F,Married,6.0,BD,SPT,BA,6.069738091,Yes,PMT,4000000.0,TLE,15000000.0,Warm,0
44.0,M,Single,6.0,LHS,SE,CB,1.427729079,Yes,TLE,50000.0,PMT,1000000.0,Cold,0
21.0,F,Single,7.0,UHS,SPT,OT,2.0,No,NO,0.0,INV,2000000.0,Warm,0
36.0,M,Divorced,2.0,PD,SPT,RR,9.293662211,Yes,INV,3000000.0,TLE,15000000.0,Hot,1
52.0,M,Married,9.0,MD,SPT,BA,7.055915829,Yes,INV,15000000.0,ANS,2000000.0,Warm,0
41.0,F,Married,2.0,MD,SPT,BA,5.214861339,Yes,PMT,2000000.0,TLE,2000000.0,Warm,1
48.0,M,Divorced,1.0,LHS,SFT,DD,1.911611484,Yes,TLE,15000000.0,PMT,15000000.0,Cold,0
31.0,F,Divorced,7.0,BD,SPT,PR,6.188794423,Yes,PMT,15000000.0,INV,3000000.0,Hot,1
24.0,F,Married,10.0,MD,SPT,BA,5.791795489,No,NO,0.0,PMT,1000000.0,Hot,1
53.0,M,Divorced,10.0,UHS,SE,CF,3.0,No,NO,0.0,ANS,1000000.0,Cold,0
29.0,M,Married,4.0,BD,SPT,BA,5.13716901,Yes,END,1000000.0,PMT,2000000.0,Hot,1
57.0,F,Married,5.0,MD,SE,FH,3.0,Yes,TLE,1000000.0,ANS,1000000.0,Cold,0
31.0,M,Married,2.0,LHS,SFT,OM,2.476903649,No,NO,0.0,ANS,1000000.0,Cold,0
40.0,F,Single,1.0,UHS,SPT,CB,1.542402916,No,NO,0.0,TLE,1000000.0,Cold,0
56.0,M,Married,7.0,NE,SPT,DD,1.945028186,No,NO,0.0,TLE,15000000.0,Cold,0
29.0,M,Married,6.0,LHS,SFT,OM,2.654142375,No,NO,0.0,INV,15000000.0,Warm,1
30.0,M,Married,10.0,MD,SPT,PG,9.446006652,No,NO,0.0,INV,1000000.0,Hot,1
51.0,M,Married,9.0,UHS,SE,DD,1.765023392,Yes,ANS,15000000.0,TLE,1000000.0,Cold,0
44.0,F,Married,6.0,LHS,SFT,DD,1.54189213,No,NO,0.0,PMT,1000000.0,Cold,0
55.0,M,Divorced,4.0,MD,SPT,PG,10.0,Yes,ANS,3000000.0,TLE,5000000.0,Warm,1
56.0,F,Married,6.0,UHS,SE,CB,1.898574529,Yes,PMT,15000000.0,ANS,15000000.0,Cold,0
32.0,M,Married,4.0,PD,SPT,BA,5.148071429,Yes,INV,1000000.0,END,15000000.0,Hot,1
25.0,M,Single,4.0,LHS,SFT,DD,1.188256096,Yes,PMT,1000000.0,INV,15000000.0,Cold,1
24.0,M,Married,5.0,LHS,SFT,PA,4.0,Yes,INV,15000000.0,PMT,4000000.0,Hot,1
43.0,M,Married,10.0,PD,SE,PG,9.672894825,Yes,ANS,1000000.0,INV,15000000.0,Warm,0
52.0,M,Married,10.0,BD,SPT,PG,9.759616103,Yes,INV,15000000.0,ANS,15000000.0,Warm,0
56.0,M,Divorced,9.0,UHS,SE,OM,3.328994345,No,NO,0.0,ANS,3000000.0,Cold,0
42.0,M,Married,3.0,BD,SPT,PG,10.0,Yes,ANS,4000000.0,INV,4000000.0,Warm,1
57.0,F,Divorced,6.0,BD,SPT,PG,10.0,Yes,PMT,2000000.0,INV,15000000.0,Warm,0
49.0,M,Married,3.0,MD,SPT,BA,6.916100888,Yes,PMT,3000000.0,TLE,2000000.0,Warm,1
32.0,F,Married,8.0,MD,SE,PG,9.3569937,No,NO,0.0,END,5000000.0,Hot,1
58.0,F,Married,5.0,UHS,SE,OT,3.5,No,NO,0.0,ANS,1000000.0,Cold,0
48.0,F,Married,8.0,LHS,SE,CF,2.761747173,Yes,TLE,4000000.0,ANS,1000000.0,Cold,0
46.0,M,Divorced,2.0,LHS,SFT,DD,1.907636965,Yes,TLE,15000000.0,PMT,15000000.0,Cold,0
42.0,F,Married,7.0,MD,SPT,BA,7.847120225,Yes,TLE,50000.0,ANS,3000000.0,Warm,1
59.0,F,Married,2.0,MD,SE,FH,2.93386217,Yes,ANS,1000000.0,TLE,15000000.0,Cold,0
20.0,M,Single,2.0,UHS,SPT,CB,1.573462619,No,NO,0.0,END,15000000.0,Cold,0
53.0,M,Married,6.0,LHS,SE,OT,3.143471371,Yes,ANS,3000000.0,TLE,1000000.0,Cold,0
58.0,M,Divorced,1.0,PD,SPT,PR,8.0,Yes,PMT,15000000.0,ANS,1000000.0,Warm,0
26.0,M,Married,9.0,PD,SE,FH,1.5,No,NO,0.0,INV,2000000.0,Cold,0
20.0,M,Married,7.0,UHS,SPT,DD,1.112225563,No,NO,0.0,INV,15000000.0,Cold,0
20.0,F,Single,4.0,NE,SPT,OM,2.0,No,NO,0.0,PMT,15000000.0,Warm,1
53.0,F,Married,8.0,MD,SPT,PG,10.0,Yes,INV,4000000.0,ANS,5000000.0,Warm,1
20.0,F,Single,1.0,LHS,SE,OT,2.0,No,NO,0.0,PMT,2000000.0,Warm,0
40.0,F,Married,3.0,NE,SPT,OM,2.260508646,Yes,ANS,15000000.0,PMT,3000000.0,Cold,0
49.0,F,Married,7.0,PD,SE,FH,2.555836612,No,NO,0.0,ANS,1000000.0,Cold,0
25.0,F,Married,10.0,LHS,SFT,PA,4.255504853,Yes,END,3000000.0,INV,3000000.0,Hot,1
51.0,F,Divorced,2.0,LHS,SFT,CB,1.958912819,Yes,PMT,50000.0,ANS,15000000.0,Cold,0
22.0,F,Married,7.0,MD,SPT,PR,5.0,No,NO,0.0,INV,4000000.0,Hot,1
51.0,M,Divorced,9.0,MD,SE,PG,9.369555319,Yes,INV,3000000.0,PMT,5000000.0,Warm,1
32.0,F,Married,4.0,MD,SPT,PG,9.247637681,Yes,TLE,1000000.0,PMT,3000000.0,Hot,1
40.0,F,Married,2.0,NE,SPT,DD,1.295560299,No,NO,0.0,PMT,1000000.0,Cold,0
53.0,F,Married,8.0,UHS,SPT,DD,1.793794412,Yes,PMT,15000000.0,ANS,1000000.0,Cold,0
51.0,M,Divorced,6.0,UHS,SPT,OT,2.934331334,Yes,ANS,1000000.0,TLE,2000000.0,Cold,0
45.0,M,Married,6.0,LHS,SE,OT,2.886403025,No,NO,0.0,TLE,15000000.0,Cold,0
39.0,F,Married,3.0,MD,SPT,PR,6.550510632,No,NO,0.0,TLE,5000000.0,Hot,1
54.0,F,Divorced,2.0,BD,SPT,PR,7.711254169,Yes,TLE,15000000.0,INV,4000000.0,Warm,0
32.0,F,Married,7.0,BD,SPT,BA,5.100836078,No,NO,0.0,TLE,4000000.0,Hot,0
31.0,F,Single,9.0,BD,SPT,PG,9.23157533,Yes,INV,15000000.0,ANS,3000000.0,Hot,1
41.0,M,Married,3.0,MD,SE,FH,2.36913735,Yes,TLE,50000.0,ANS,1000000.0,Cold,0
47.0,F,Married,10.0,MD,SPT,PG,9.650119756,No,NO,0.0,INV,15000000.0,Warm,1
43.0,M,Married,8.0,UHS,SPT,DD,1.618589448,Yes,ANS,15000000.0,PMT,15000000.0,Cold,0
50.0,M,Single,2.0,LHS,SFT,DD,1.747187534,No,NO,0.0,PMT,15000000.0,Cold,0
26.0,F,Married,3.0,NE,SE,DD,1.209165743,No,NO,0.0,PMT,1000000.0,Cold,0
40.0,F,Married,2.0,BD,SPT,PG,9.391884594,No,NO,0.0,ANS,3000000.0,Hot,1
39.0,M,Divorced,3.0,PD,SE,FH,2.737296225,Yes,TLE,50000.0,ANS,15000000.0,Cold,0
31.0,F,Married,5.0,MD,SPT,PR,5.59967805,Yes,INV,2000000.0,TLE,3000000.0,Hot,1
57.0,M,Married,8.0,BD,SPT,RR,9.94051609,Yes,ANS,1000000.0,INV,4000000.0,Warm,1
46.0,F,Divorced,2.0,UHS,SE,OT,3.279468541,No,NO,0.0,ANS,3000000.0,Cold,0
32.0,M,Married,9.0,NE,SPT,DD,1.543884672,Yes,INV,3000000.0,ANS,15000000.0,Cold,0
26.0,M,Married,7.0,UHS,SE,CF,1.692549588,No,NO,0.0,TLE,15000000.0,Cold,1
58.0,M,Married,6.0,MD,SPT,RR,9.963902185,No,NO,0.0,TLE,1000000.0,Warm,1
42.0,M,Divorced,2.0,BD,SPT,BA,6.871525567,No,NO,0.0,PMT,3000000.0,Warm,1
41.0,M,Married,7.0,PD,SPT,PR,5.949453729,Yes,TLE,1000000.0,ANS,5000000.0,Warm,0
47.0,F,Married,7.0,UHS,SPT,DD,1.720854737,Yes,PMT,1000000.0,ANS,15000000.0,Cold,0
25.0,M,Married,9.0,MD,SE,FH,1.734607611,No,NO,0.0,INV,2000000.0,Cold,0
40.0,F,Married,5.0,MD,SE,PG,9.649419428,No,NO,0.0,TLE,3000000.0,Hot,1
42.0,F,Single,1.0,LHS,SE,CF,2.88880311,Yes,ANS,3000000.0,TLE,1000000.0,Cold,0
19.0,M,Single,4.0,UHS,SPT,OM,2.401510281,No,NO,0.0,INV,1000000.0,Warm,1
43.0,M,Divorced,8.0,BD,SE,FH,2.231644398,No,NO,0.0,TLE,2000000.0,Cold,0
48.0,M,Divorced,10.0,BD,SE,FH,2.426495711,Yes,TLE,1000000.0,ANS,1000000.0,Cold,0
38.0,M,Married,4.0,BD,SPT,RR,9.472377915,No,NO,0.0,ANS,15000000.0,Hot,1
35.0,F,Married,9.0,PD,SPT,RR,9.68886059,No,NO,0.0,ANS,3000000.0,Hot,1
18.0,M,Single,9.0,UHS,SPT,OM,2.0,No,NO,0.0,END,2000000.0,Warm,1
57.0,M,Divorced,10.0,BD,SE,PG,10.0,Yes,PMT,3000000.0,ANS,4000000.0,Warm,1
23.0,M,Divorced,4.0,LHS,SFT,OT,2.0,No,NO,0.0,INV,3000000.0,Warm,0
21.0,M,Single,2.0,BD,SE,FH,1.5,No,NO,0.0,INV,15000000.0,Cold,0
49.0,M,Divorced,1.0,MD,SPT,PG,10.0,No,NO,0.0,INV,15000000.0,Warm,1
41.0,M,Married,5.0,BD,SPT,RR,9.406657397,Yes,INV,3000000.0,ANS,15000000.0,Warm,0
59.0,M,Married,2.0,NE,SPT,DD,2.0,Yes,TLE,3000000.0,PMT,1000000.0,Cold,0
33.0,M,Single,7.0,UHS,SPT,DD,1.190713212,Yes,INV,2000000.0,PMT,1000000.0,Cold,0
43.0,M,Married,7.0,PD,SE,FH,2.936638426,No,NO,0.0,TLE,1000000.0,Cold,0
58.0,M,Divorced,3.0,MD,SE,FH,2.656964753,No,NO,0.0,TLE,1000000.0,Cold,0
56.0,F,Divorced,6.0,MD,SE,FH,3.0,Yes,TLE,15000000.0,ANS,1000000.0,Cold,0
35.0,F,Married,7.0,PD,SPT,PG,9.844033087,Yes,TLE,15000000.0,ANS,3000000.0,Hot,1
54.0,M,Married,5.0,MD,SPT,PG,9.989350492,Yes,TLE,1000000.0,INV,4000000.0,Warm,1
53.0,M,Married,2.0,BD,SE,FH,2.264595622,Yes,ANS,1000000.0,TLE,2000000.0,Cold,0
18.0,F,Married,9.0,NE,SPT,OC,4.0,No,NO,0.0,INV,1000000.0,Hot,1
48.0,F,Divorced,1.0,UHS,SPT,CB,1.704091052,No,NO,0.0,PMT,1000000.0,Cold,0
37.0,M,Married,4.0,PD,SE,PG,9.49409252,No,NO,0.0,ANS,2000000.0,Hot,0
18.0,M,Single,1.0,UHS,SPT,OT,2.396138074,No,NO,0.0,END,3000000.0,Warm,1
29.0,M,Single,3.0,MD,SE,FH,1.625951526,Yes,PMT,15000000.0,END,15000000.0,Cold,0
